English Word,Arabic Translation (Google Translate),Basque Translation (Google Translate),Bengali Translation (Google Translate),Catalan Translation (Google Translate),Chinese (simplified) Translation (Google Translate),Chinese (traditional) Translation (Google Translate),Dutch Translation (Google Translate),Finnish Translation (Google Translate),French Translation (Google Translate),German Translation (Google Translate),Hindi Translation (Google Translate),Italian Translation (Google Translate),Japanese Translation (Google Translate),Marathi Translation (Google Translate),Persian Translation (Google Translate),Portuguese Translation (Google Translate),Romanian Translation (Google Translate),Russian Translation (Google Translate),Spanish Translation (Google Translate),Tamil Translation (Google Translate),Telugu Translation (Google Translate),Urdu Translation (Google Translate),Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
aback,الى الوراء,aback,পশ্চাতে,darrere,吓了一跳,嚇了一跳,verrast,taaksepäin,un dos,erstaunt,बोचक्क,dietro,あっけ,पाठीमागे,به عقب,para trás,surprins,сзади,detrás,அதிர்ச்சி,వెనక్కి,دنگ رہ,0,0,0,0,0,0,0,0,0,0
abacus,طبلية تاج,abako,গণনা-যন্ত্রবিশেষ,àbac,算盘,算盤,abacus,Abacus,abaque,Abakus,अबैकस,abaco,そろばん,सरकणार्या मण्यांच्या दांड्या असलेली आणि मोजण्यासाठी किंवा आकडेमोडीसाठी वापरण्यात येणारी चौकट,چرتکه,ábaco,abac,счеты,ábaco,அபாகஸ்,అబాకస్,abacus کے,0,0,0,0,0,0,0,0,0,1
abandon,تخلى,alde batera utzi,বর্জিত করা,abandonar,放弃,放棄,verlaten,luopua,abandonner,aufgeben,परित्याग,abbandono,捨てます,अंतर,رها کردن,abandonar,abandona,отказаться от,abandonar,கைவிட,పరిత్యజించిన,ترک,0,1,0,0,0,1,0,1,0,0
abandoned,مهجور,abandonatu,পরিত্যক্ত,abandonat,弃,棄,verlaten,hylätty,abandonné,verlassen,परित्यक्त,abbandonato,放棄されました,भन्नाट,متروکه,abandonado,abandonat,заброшенный,abandonado,கைவிடப்பட்ட,రద్దు,ترک کر دیا,0,1,1,0,0,1,0,1,0,0
abandonment,هجر,abandono,বিসর্জন,abandonament,放弃,放棄,verlatenheid,hylkääminen,abandon,Aufgabe,संन्यास,abbandono,放棄,त्याग,ترک,abandono,abandon,отказ,abandono,கைவிட்டது,పరిత్యాగం,دستبرداری,0,1,1,0,0,1,0,1,1,0
abate,انحسر,abate,প্রকোপ হ্রাস করা,disminuir,杀,殺,verminderen,hillitä,se calmer,verringern,रोक-थाम करना,ridurre,弱まります,उतार पडणे,کم شدن,diminuir,reduce,отпускать,disminuir,Abate,తగ్గు,ختم,0,0,0,0,0,0,0,0,0,0
abatement,انحسار,murrizteko,উপশম,disminució,减排,減排,vermindering,vähennys,réduction,Verminderung,कमी,riduzione,軽減,कमी होणे,جلو گیری,diminuição,reducere,уменьшение,disminución,தணிப்பு,స్తంభన,ابیٹمینٹ,0,0,0,0,0,0,0,0,0,0
abba,أبا,abba,Abba,abba,ABBA,ABBA,abba,abba,abba,abba,अब्बा,abba,アバ,अब्बा,ابا,abba,abba,авва,abba,அப்பா,abba,ابا,1,0,0,0,0,0,0,0,0,0
abbot,رئيس الدير,abade,মঠাধ্যক্ষ,abat,方丈,方丈,abt,apotti,abbé,Abt,महंत,abate,修道院長,ख्रिस्ती मठाधिपती,راهب بزرگ,abade,stareț,аббат,abad,மடாதிபதி,మఠాధిపతి,مٹھادیہر € ا,0,0,0,0,0,0,0,0,0,1
abbreviate,اختصر,laburtu,খাট করা,abreujar,简略,簡略,afkorten,lyhentää,abréger,abkürzen,संक्षिप्त करना,abbreviare,短縮します,संक्षिप्त,مختصر کردن,abreviar,abrevia,сокращать,abreviar,சுருக்கியது,సంక్షిప్తంగా,abbreviate,0,0,0,0,0,0,0,0,0,0
abbreviation,الاختصار,laburdura,সংক্ষেপ,abreviatura,缩写,縮寫,afkorting,lyhenne,abréviation,Abkürzung,संक्षिप्त,abbreviazione,略語,संक्षेप,مخفف,abreviatura,abreviere,сокращение,abreviatura,சுருக்கம்,సంక్షిప్త,مخفف,0,0,0,0,0,0,0,0,0,0
abdomen,بطن,abdominalak,উদর,abdomen,腹部,腹部,buik,vatsa,abdomen,Unterleib,पेट,addome,腹部,उदर,شکم,abdômen,abdomen,живот,abdomen,வயிறு,ఉదరం,پیٹ,0,0,0,0,0,0,0,0,0,0
abdominal,البطن,sabeleko,পেটের,abdominal,腹部的,腹部的,abdominaal,vatsa-,abdominal,abdominal,उदर,addominale,腹部,ओटीपोटात,شکمی,abdominal,abdominal,брюшной,abdominal,வயிற்று,ఉదర,پیٹ,0,0,0,0,0,0,0,0,0,0
abduction,اختطاف,urrunketa,অপহরণ,segrest,绑架,綁架,ontvoering,sieppaus,enlèvement,Entführung,अपहरण,rapimento,拉致,अपहरण,ربایش,abdução,răpire,похищение,secuestro,கடத்தல்,అపహరణ,اغوا,0,1,0,0,0,1,0,1,1,0
aberrant,شاذ,aberranteari,বিপথগামী,aberrant,异常,異常,afwijkend,poikkeuksellinen,aberrant,aberrant,धर्मपथ से हटनेवाला,aberrante,異常な,योग्य मार्गापासून दूर जाणारा,نابجا,aberrante,aberant,отклоняющийся,aberrante,பிறழும்,అస్వాభావికమైన,کج روی,0,1,0,0,0,0,0,0,0,0
